Colony,Date,Survey.Start,Survey.End,Sparrow,Hedge,Grass,Tree,Roof,Artificial.Surface,Bush,Bird.Feeder,Colony.Size,DistHdg,DistRf,Aflag
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,0,1,0,0,0,-0.792728493,-0.340334953,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,0,1,0,0,0,-0.781597099,0.257598702,1
Bearsden 1,12/10/17,09:00,12:00,0,0,1,0,0,0,0,0,0,-0.766755241,2.212866985,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,0,0.5,0.5,0,0,-0.758406695,0.78892709,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,0,0.8,0.2,0,0,-0.712025887,2.203279863,1
Bearsden 1,12/10/17,09:00,12:00,0,0,1,0,0,0,0,0,0,-0.67028316,2.146261717,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,0,0,1,0,0,-0.644309908,1.659841427,1
Bearsden 1,12/10/17,09:00,12:00,0,0,1,0,0,0,0,0,0,-0.613698575,1.655300159,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,1,0,0,0,0,-0.510733181,0.510900555,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,1,0,0,0,0,0,-0.40962302,0.125397337,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,0,1,0,0,0,-0.152673344,-0.267674661,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,1,0,0,0,0,0,-0.064549809,2.308738204,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,1,0,0,0,0,0,-0.034866092,1.479704452,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,1,0,0,0,0,0.073664999,1.794061134,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,1,0,0,0,0,0.140453362,3.041396152,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,0,1,0,0,0,0.291654796,1.69213489,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,0,1,0,0,0,1.350064832,0.756633627,1
Bearsden 2,12/10/17,09:00,12:00,1,0,1,0,0,0,0,0,29,-0.456931444,-0.827764414,0
Bearsden 2,12/10/17,09:00,12:00,1,0,1,0,0,0,0,0,29,-0.456931444,-0.827764414,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,29,0.148801907,0.202598898,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,29,0.148801907,0.202598898,0
Bearsden 2,12/10/17,09:00,12:00,1,0,1,0,0,0,0,0,29,0.347311765,-0.112262369,0
Bearsden 2,12/10/17,09:00,12:00,1,0,1,0,0,0,0,0,29,0.347311765,-0.112262369,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,0,0,1,0,29,-0.969903179,-0.719278561,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,0,0,1,0,29,-0.845602614,-0.837856122,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,29,-0.40962302,-0.093088125,0
Bearsden 2,12/10/17,09:00,12:00,1,0,1,0,0,0,0,0,29,-0.377156454,-0.052721296,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,29,-0.331703263,-0.276757197,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,29,-0.254711121,-1.102258852,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,0,0,1,0,29,-0.163804738,-0.477077587,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,29,-0.058984112,-0.638544903,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,29,-0.052490799,-0.798498463,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,0,0,1,0,29,0.147874291,-1.054827828,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,29,0.253622533,-0.714232708,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,29,0.377923098,-1.081066267,0
Bearsden 2,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,29,0.538400694,-1.172396217,0
Bearsden 2,12/10/17,09:00,12:00,1,0,1,0,0,0,0,0,29,1.764709255,-0.164739247,0
Bearsden 2,12/10/17,09:00,12:00,0,0.9,0.1,0,0,0,0,0,0,-1.148933098,0.240947385,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,0,0,1,0,0,0,-0.625757585,-0.982672121,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,0,1,0,0,0,0,-0.515371262,-0.264142563,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,0,0,1,0,0,0,-0.413333485,-1.035148999,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,1,0,0,0,0,0,-0.347472737,-0.862076219,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,1,0,0,0,0,0,-0.300164313,0.512414311,1
Bearsden 2,12/10/17,09:00,12:00,0,0,1,0,0,0,0,0,0,-0.180501829,0.944843967,1
Bearsden 2,12/10/17,09:00,12:00,0,0,0,0,0,1,0,0,0,-0.161949506,-0.136482466,1
